time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,4,196,4,2,0
2.0,18,182,18,8,0
3.0,49,151,49,18,0
4.0,115,85,115,33,0
5.0,166,34,166,49,0
6.0,187,13,187,54,0
7.0,196,4,196,55,0
8.0,198,2,198,55,0
9.0,199,1,199,55,0
10.0,198,1,198,55,0
11.0,198,0,198,55,0
12.0,190,0,190,55,0
13.0,169,0,169,55,0
14.0,118,0,118,55,0
15.0,81,0,81,53,2
16.0,59,0,59,47,8
17.0,41,0,41,37,18
18.0,24,0,24,22,33
19.0,7,0,7,6,49
20.0,2,0,2,1,54
21.0,0,0,0,0,55
22.0,0,0,0,0,55
23.0,0,0,0,0,55
24.0,0,0,0,0,55
25.0,0,0,0,0,55
26.0,0,0,0,0,55
27.0,0,0,0,0,55
28.0,0,0,0,0,55
29.0,0,0,0,0,55
30.0,0,0,0,0,55
31.0,0,0,0,0,55
32.0,0,0,0,0,55
33.0,0,0,0,0,55
34.0,0,0,0,0,55
35.0,0,0,0,0,55
36.0,0,0,0,0,55
37.0,0,0,0,0,55
38.0,0,0,0,0,55
39.0,0,0,0,0,55
40.0,0,0,0,0,55
41.0,0,0,0,0,55
42.0,0,0,0,0,55
43.0,0,0,0,0,55
44.0,0,0,0,0,55
45.0,0,0,0,0,55
46.0,0,0,0,0,55
47.0,0,0,0,0,55
48.0,0,0,0,0,55
49.0,0,0,0,0,55
50.0,0,0,0,0,55
51.0,0,0,0,0,55
52.0,0,0,0,0,55
53.0,0,0,0,0,55
54.0,0,0,0,0,55
55.0,0,0,0,0,55
56.0,0,0,0,0,55
57.0,0,0,0,0,55
58.0,0,0,0,0,55
59.0,0,0,0,0,55
60.0,0,0,0,0,55
61.0,0,0,0,0,55
62.0,0,0,0,0,55
63.0,0,0,0,0,55
64.0,0,0,0,0,55
65.0,0,0,0,0,55
66.0,0,0,0,0,55
67.0,0,0,0,0,55
68.0,0,0,0,0,55
69.0,0,0,0,0,55
70.0,0,0,0,0,55
71.0,0,0,0,0,55
72.0,0,0,0,0,55
73.0,0,0,0,0,55
74.0,0,0,0,0,55
75.0,0,0,0,0,55
76.0,0,0,0,0,55
77.0,0,0,0,0,55
78.0,0,0,0,0,55
79.0,0,0,0,0,55
80.0,0,0,0,0,55
81.0,0,0,0,0,55
82.0,0,0,0,0,55
83.0,0,0,0,0,55
84.0,0,0,0,0,55
85.0,0,0,0,0,55
86.0,0,0,0,0,55
87.0,0,0,0,0,55
88.0,0,0,0,0,55
89.0,0,0,0,0,55
90.0,0,0,0,0,55
91.0,0,0,0,0,55
92.0,0,0,0,0,55
93.0,0,0,0,0,55
94.0,0,0,0,0,55
95.0,0,0,0,0,55
96.0,0,0,0,0,55
97.0,0,0,0,0,55
98.0,0,0,0,0,55
99.0,0,0,0,0,55
100.0,0,0,0,0,55
