time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3.0,2,998,2,1,0
4.0,2,998,2,1,0
5.0,3,997,3,2,0
6.0,3,997,3,2,0
7.0,3,997,3,2,0
8.0,3,997,3,2,0
9.0,4,996,4,3,0
10.0,3,996,3,3,0
11.0,5,994,5,4,0
12.0,5,994,5,4,0
13.0,6,993,6,4,0
14.0,6,993,6,4,0
15.0,6,993,6,4,0
16.0,6,993,6,4,0
17.0,5,993,5,3,1
18.0,5,993,5,3,1
19.0,4,993,4,2,2
20.0,4,993,4,2,2
21.0,3,993,3,2,2
22.0,3,993,3,2,2
23.0,1,993,1,1,3
24.0,1,993,1,1,3
25.0,0,993,0,0,4
26.0,0,993,0,0,4
27.0,0,993,0,0,4
28.0,0,993,0,0,4
29.0,0,993,0,0,4
30.0,0,993,0,0,4
31.0,0,993,0,0,4
32.0,0,993,0,0,4
33.0,0,993,0,0,4
34.0,0,993,0,0,4
35.0,0,993,0,0,4
36.0,0,993,0,0,4
37.0,0,993,0,0,4
38.0,0,993,0,0,4
39.0,0,993,0,0,4
40.0,0,993,0,0,4
41.0,0,993,0,0,4
42.0,0,993,0,0,4
43.0,0,993,0,0,4
44.0,0,993,0,0,4
45.0,0,993,0,0,4
46.0,0,993,0,0,4
47.0,0,993,0,0,4
48.0,0,993,0,0,4
49.0,0,993,0,0,4
50.0,0,993,0,0,4
51.0,0,993,0,0,4
52.0,0,993,0,0,4
53.0,0,993,0,0,4
54.0,0,993,0,0,4
55.0,0,993,0,0,4
56.0,0,993,0,0,4
57.0,0,993,0,0,4
58.0,0,993,0,0,4
59.0,0,993,0,0,4
60.0,0,993,0,0,4
61.0,0,993,0,0,4
62.0,0,993,0,0,4
63.0,0,993,0,0,4
64.0,0,993,0,0,4
65.0,0,993,0,0,4
66.0,0,993,0,0,4
67.0,0,993,0,0,4
68.0,0,993,0,0,4
69.0,0,993,0,0,4
70.0,0,993,0,0,4
71.0,0,993,0,0,4
72.0,0,993,0,0,4
73.0,0,993,0,0,4
74.0,0,993,0,0,4
75.0,0,993,0,0,4
76.0,0,993,0,0,4
77.0,0,993,0,0,4
78.0,0,993,0,0,4
79.0,0,993,0,0,4
80.0,0,993,0,0,4
81.0,0,993,0,0,4
82.0,0,993,0,0,4
83.0,0,993,0,0,4
84.0,0,993,0,0,4
85.0,0,993,0,0,4
86.0,0,993,0,0,4
87.0,0,993,0,0,4
88.0,0,993,0,0,4
89.0,0,993,0,0,4
90.0,0,993,0,0,4
91.0,0,993,0,0,4
92.0,0,993,0,0,4
93.0,0,993,0,0,4
94.0,0,993,0,0,4
95.0,0,993,0,0,4
96.0,0,993,0,0,4
97.0,0,993,0,0,4
98.0,0,993,0,0,4
99.0,0,993,0,0,4
100.0,0,993,0,0,4
