time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,5000,0,5000,1106,0
2.0,5000,0,5000,1106,0
3.0,5000,0,5000,1106,0
4.0,5000,0,5000,1106,0
5.0,5000,0,5000,1106,0
6.0,5000,0,5000,1106,0
7.0,5000,0,5000,1106,0
8.0,5000,0,5000,1106,0
9.0,5000,0,5000,1106,0
10.0,5000,0,5000,1106,0
11.0,1106,0,1106,1106,0
12.0,1106,0,1106,1106,0
13.0,1106,0,1106,1106,0
14.0,1105,0,1105,1105,1
15.0,0,0,0,0,1106
16.0,0,0,0,0,1106
17.0,0,0,0,0,1106
18.0,0,0,0,0,1106
19.0,0,0,0,0,1106
20.0,0,0,0,0,1106
21.0,0,0,0,0,1106
22.0,0,0,0,0,1106
23.0,0,0,0,0,1106
24.0,0,0,0,0,1106
25.0,0,0,0,0,1106
26.0,0,0,0,0,1106
27.0,0,0,0,0,1106
28.0,0,0,0,0,1106
29.0,0,0,0,0,1106
30.0,0,0,0,0,1106
31.0,0,0,0,0,1106
32.0,0,0,0,0,1106
33.0,0,0,0,0,1106
34.0,0,0,0,0,1106
35.0,0,0,0,0,1106
36.0,0,0,0,0,1106
37.0,0,0,0,0,1106
38.0,0,0,0,0,1106
39.0,0,0,0,0,1106
40.0,0,0,0,0,1106
41.0,0,0,0,0,1106
42.0,0,0,0,0,1106
43.0,0,0,0,0,1106
44.0,0,0,0,0,1106
45.0,0,0,0,0,1106
46.0,0,0,0,0,1106
47.0,0,0,0,0,1106
48.0,0,0,0,0,1106
49.0,0,0,0,0,1106
50.0,0,0,0,0,1106
51.0,0,0,0,0,1106
52.0,0,0,0,0,1106
53.0,0,0,0,0,1106
54.0,0,0,0,0,1106
55.0,0,0,0,0,1106
56.0,0,0,0,0,1106
57.0,0,0,0,0,1106
58.0,0,0,0,0,1106
59.0,0,0,0,0,1106
60.0,0,0,0,0,1106
61.0,0,0,0,0,1106
62.0,0,0,0,0,1106
63.0,0,0,0,0,1106
64.0,0,0,0,0,1106
65.0,0,0,0,0,1106
66.0,0,0,0,0,1106
67.0,0,0,0,0,1106
68.0,0,0,0,0,1106
69.0,0,0,0,0,1106
70.0,0,0,0,0,1106
71.0,0,0,0,0,1106
72.0,0,0,0,0,1106
73.0,0,0,0,0,1106
74.0,0,0,0,0,1106
75.0,0,0,0,0,1106
76.0,0,0,0,0,1106
77.0,0,0,0,0,1106
78.0,0,0,0,0,1106
79.0,0,0,0,0,1106
80.0,0,0,0,0,1106
81.0,0,0,0,0,1106
82.0,0,0,0,0,1106
83.0,0,0,0,0,1106
84.0,0,0,0,0,1106
85.0,0,0,0,0,1106
86.0,0,0,0,0,1106
87.0,0,0,0,0,1106
88.0,0,0,0,0,1106
89.0,0,0,0,0,1106
90.0,0,0,0,0,1106
91.0,0,0,0,0,1106
92.0,0,0,0,0,1106
93.0,0,0,0,0,1106
94.0,0,0,0,0,1106
95.0,0,0,0,0,1106
96.0,0,0,0,0,1106
97.0,0,0,0,0,1106
98.0,0,0,0,0,1106
99.0,0,0,0,0,1106
100.0,0,0,0,0,1106
